K,Cmkt,Pmkt
19300,1080,243
19400,1000,261
19500,925,285
19600,855,308
19700,775,338
19800,710,361
19900,625,393
20000,585,428
20100,520,469
20200,458,510
20300,408,550
20400,355,605
20500,309,645
20600,269,715
20700,226,780
20800,193,870
20900,160,945
21000,132,1000
21100,111,980
21200,93,1160
