Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,
2015-01-05,9274.068359375,9292.26749572087,9181.977956039962,9292.26749572087,2311000
2015-01-06,9048.298828125,9209.887939397158,9043.399436271273,9209.887939397158,2725800
2015-01-07,9080.0478515625,9108.618031934962,9050.498183532341,9051.898567681033,2384100
2015-01-08,9237.98828125,9246.578085954194,9153.988663078555,9153.988663078555,2657600
2015-01-09,9215.5380859375,9284.528005948041,9215.5380859375,9247.358253443423,2398800
2015-01-12,9178.2578125,9229.608163500368,9178.2578125,9197.977448841602,2205700
2015-01-13,9231.7578125,9253.778220149008,9161.668287563874,9162.727853056764,2324800
2015-01-14,9180.1884765625,9242.15791966323,9161.668053466461,9235.85814379228,2271500
2015-01-15,9165.0478515625,9219.387446340701,9149.05769045082,9197.27817264042,2210200
2015-01-16,9138.248046875,9256.817814521775,9109.418101229714,9245.727045173713,2591100
2015-01-19,9174.017578125,9247.047517282903,9151.778422107684,9183.717729037044,1893500
2015-01-20,9251.6484375,9259.267543542739,9177.438813391604,9188.718059071382,1795000
2015-01-21,9319.66796875,9319.66796875,9275.637893701452,9283.74820872082,2174400
2015-01-22,9369.4677734375,9386.517501711332,9336.76772468045,9336.76772468045,2387200
2015-01-23,9470.8974609375,9471.756832038598,9421.957253288045,9421.957253288045,2647100
2015-01-26,9477.626953125,9478.48730078694,9436.42694460112,9474.516615663848,1906500
2015-01-27,9521.546875,9523.687490339851,9471.14768837849,9505.516673903447,1875400
2015-01-28,9510.876953125,9515.24705056904,9471.266780515462,9503.157261438937,1784400
2015-01-29,9426.8583984375,9482.087644604877,9403.70811093606,9479.318125691772,1849600
2015-01-30,9361.8681640625,9466.607928632568,9361.8681640625,9452.807209285,2041700
2015-02-02,9386.9482421875,9410.387590457389,9352.148593175023,9368.788167175966,1650800
2015-02-03,9448.6884765625,9460.127878848112,9394.427975521392,9394.427975521392,1649300
2015-02-04,9513.876953125,9533.83682391516,9477.476726899038,9477.476726899038,2134800
2015-02-05,9512.0068359375,9517.376928866588,9472.377132144933,9511.016606035682,1523200
2015-02-06,9456.13671875,9521.836615521719,9448.60745608802,9521.836615521719,1533300
2015-02-09,9421.4580078125,9465.077930582536,9413.13773239663,9465.077930582536,1425200
2015-02-10,9393.658203125,9435.028135377737,9390.08790658519,9405.547798412801,1631400
